City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2017-04-29,0.1457455382843984,0.35830884175489536,82.18,0.30724846736386585,66.92,42.48,0.01183304647160069,0.2929542645241038,0.15885457085208754,3.13,16.23,,0.16218181818181818,Poor
Delhi,2017-04-30,0.09286125503742085,0.27604074454398453,33.5,0.23635052289938693,32.27,34.42,0.007637693631669535,0.2504971247380018,0.22423560453205027,2.1,13.6,,0.1898181818181818,Poor
Delhi,2017-05-01,0.09860679332181924,0.24981410006727808,64.66,0.25376848178867656,41.01,40.22,0.011295180722891568,0.3043478260869565,0.1662269129287599,2.89,16.32,,0.12290909090909091,Moderate
Delhi,2017-05-02,0.2280253310305124,0.36949824722920577,133.01,0.3911648034619546,65.63,44.95,0.015167814113597246,0.27285430214435424,0.22532205494334936,3.14,16.69,,0.25890909090909087,Very Poor
Delhi,2017-05-03,0.16762233736327004,0.433825525536159,62.01,0.35052289938694553,58.52,44.27,0.011402753872633392,0.2946203041865964,0.169835480366289,3.15,16.32,,0.29454545454545455,Severe
Delhi,2017-05-04,0.12636729994242948,0.356266893287537,44.86,0.2443202307969708,43.5,34.41,0.00892857142857143,0.18788627935723112,0.17825547105385692,1.7,12.37,,0.22036363636363634,Very Poor
Delhi,2017-05-05,0.23861830742659762,0.5065212516081818,68.51,0.2728092318788316,56.71,32.24,0.01064974182444062,0.2507658408125974,0.19664752444513425,3.17,12.7,,0.3207272727272727,Severe
Delhi,2017-05-06,0.2353483016695452,0.4288681939969075,126.22,0.3324197619906239,74.14,37.01,0.016135972461273667,0.277798677916913,0.1679729939469191,3.96,16.74,,0.30618181818181817,Severe
Delhi,2017-05-07,0.2540126655152562,0.44397625202129287,150.24,0.3329606923909124,91.72,41.82,0.022375215146299487,0.24388670930295048,0.16420921930777588,4.33,17.84,,0.3301818181818182,Severe
Delhi,2017-05-08,0.21146804835924007,0.4628731277221061,78.17,0.3396321673278038,68.74,50.62,0.014414802065404478,0.284731552641479,0.15318950799317088,4.58,16.63,,0.31127272727272726,Severe
Delhi,2017-05-09,0.1261945883707542,0.39478063807938807,24.91,0.23512441399206632,35.7,36.69,0.006884681583476765,0.19847369269629708,0.1706503181747633,2.73,21.07,,0.2807272727272727,Very Poor
Delhi,2017-05-10,0.08550374208405298,0.28606163615547137,11.75,0.1675802380093761,21.01,34.59,0.006454388984509467,0.19132584511205458,0.23932950488902685,1.94,14.05,,0.152,Poor
Delhi,2017-05-11,0.108370754173863,0.31123779847266975,25.99,0.2243418680129823,35.29,30.7,0.009143717728055079,0.24146826463159024,0.2658699363650473,2.83,17.74,,0.14981818181818182,Poor
Delhi,2017-05-12,0.24962579159470355,0.5906424465611462,47.65,0.25542733501622794,46.27,35.38,0.009574010327022377,0.35196431450529364,0.25876920689119975,3.33,18.9,,0.33454545454545453,Severe
Delhi,2017-05-13,0.2278986758779505,0.4209836762154315,72.18,0.31561485755499463,69.94,42.62,0.01258605851979346,0.28607513301445686,0.24763309017538412,4.61,26.2,,0.33818181818181814,Severe
Delhi,2017-05-14,0.14001151410477838,0.3946153936947464,61.83,0.2537324197619907,58.22,32.57,0.009574010327022377,0.2416832374912667,0.15935899425733355,4.09,23.08,,0.2610909090909091,Very Poor
Delhi,2017-05-15,0.15587795048934946,0.44990144352773154,89.05,0.2724125495852867,69.21,37.08,0.007530120481927711,0.24802493685172244,0.13479745460189352,3.43,18.26,,0.24727272727272726,Very Poor
Delhi,2017-05-16,0.1416810592976396,0.44258347792216984,34.5,0.19769203029210242,30.75,20.17,0.0061316695352839935,0.22545278658569354,0.20367065031817477,2.51,14.55,,0.2436363636363636,Very Poor
Delhi,2017-05-17,0.08983304548071389,0.3397070453123709,24.59,0.1724846736386585,30.59,12.09,0.004302925989672978,0.20959853818455418,0.1876843085519168,1.62,12.72,,0.1818181818181818,Poor
Delhi,2017-05-18,0.14493955094991368,0.3301818868548092,9.76,0.1813559322033898,20.34,13.57,0.004410499139414803,0.29612511420433163,0.20324383051373585,2.24,13.46,,0.12654545454545454,Moderate
Delhi,2017-05-19,0.1599769717904433,0.3882534848860404,37.79,0.2124774612333213,38.72,27.59,0.007637693631669535,0.22195947761595097,0.1758497594288375,1.72,11.14,,0.20363636363636362,Poor
Delhi,2017-05-20,0.2690385722510075,0.41615617954982703,58.84,0.21539848539487919,41.26,25.31,0.009681583476764202,0.19481915408179715,0.1810492006829117,1.84,11.51,,0.23272727272727273,Very Poor
Delhi,2017-05-21,0.20527345998848592,0.5959302668696811,65.22,0.18885683375405699,37.23,13.02,0.009466437177280553,0.21706884505831137,0.19354338041285116,2.42,13.96,,0.35709090909090907,Severe
Delhi,2017-05-22,0.1265860679332182,0.4561807301441167,72.51,0.2296790479624955,49.96,39.38,0.01064974182444062,0.18998226473907667,0.15873816545087693,3.31,17.75,,0.2436363636363636,Very Poor
Delhi,2017-05-23,0.13617731721358667,0.3845945020832595,135.99,0.3036422646952759,38.66,56.89,0.009574010327022377,0.20175202880636317,0.15357752599720628,3.5,18.52,,0.296,Severe
Delhi,2017-05-24,0.1234427173287277,0.29764054625072295,32.51,0.29105661738189686,21.67,42.37,0.005055938037865749,0.22679636695867145,0.1516762377774329,3.96,18.3,,0.1629090909090909,Poor
Delhi,2017-05-25,0.13096142774899253,0.26285660328364197,20.0,0.2369275153263613,23.38,33.07,0.00602409638554217,0.22260439619498038,0.11947074344249572,2.74,14.63,,0.13818181818181818,Poor
Delhi,2017-05-26,0.11927461139896374,0.3557357506226172,19.37,0.2851063829787234,31.23,49.97,0.00699225473321859,0.222443166550223,0.2091029023746702,2.56,11.12,,0.19999999999999998,Poor
Delhi,2017-05-27,0.08027633851468048,0.37403066463652135,8.83,0.18070681572304362,15.96,39.95,0.005701376936316696,0.2071263502982748,0.20646437994722955,1.35,9.27,,0.16145454545454543,Poor
Delhi,2017-05-28,0.04625215889464594,0.17723640569857063,7.16,0.16440677966101694,15.27,37.97,0.005271084337349398,0.16923738378029773,0.22117026230017073,1.37,9.65,,0.09745454545454545,Moderate
Delhi,2017-05-29,0.05617731721358665,0.17710657082492354,18.15,0.19902632527948072,23.76,41.24,0.005808950086058521,0.1449991938517762,0.19009002017693621,1.8,11.24,,0.05818181818181818,Satisfactory
Delhi,2017-05-30,0.07266551525618885,0.20589450326357658,17.45,0.23115759105661737,26.54,47.68,0.005378657487091223,0.14048476379857042,0.21038336178798694,2.2,13.37,,0.08436363636363636,Moderate
Delhi,2017-05-31,0.0647322970639033,0.1622227730368377,26.49,0.25232600072124056,30.75,53.68,0.00892857142857143,0.11785887031762239,0.19765637125562627,2.37,12.75,,0.07927272727272727,Moderate
Delhi,2017-06-01,0.10946459412780658,0.30331787118019904,53.45,0.35095564370717636,52.3,57.81,0.011617900172117042,0.12355565109904873,0.25477262144963525,3.26,15.28,,0.12945454545454543,Moderate
Delhi,2017-06-02,0.14194588370754174,0.4180328836325437,82.72,0.47435989902632536,58.97,60.86,0.011617900172117042,0.13296071370989412,0.17755703864659322,3.2,14.9,,0.22545454545454544,Very Poor
